Technique,Description,Mitigation,Detection,Mitigation_Description,proc_example
"
                            ,
                        Web Services
                    ","Before compromising a victim, adversaries may register for web services that can be used during targeting. A variety of popular websites exist for adversaries to register for a web-based service that can be abused during later stages of the adversary lifecycle, such as during Command and Control (,) or ,. Using common services, such as those offered by Google or Twitter, makes it easier for adversaries to hide in expected noise. By utilizing a web service, adversaries can make it difficult to physically tie back operations to them."," APT17 ,APT17,[1], APT29 ,APT29,HAMMERTOSS,[2], Pre-compromise ","Much of this activity will take place outside the visibility of the target organization, making detection of this behavior difficult. Detection efforts may be focused on related stages of the adversary lifecycle, such as during Command and Control (,) or ,."," has created profile pages in Microsoft TechNet that were used as C2 infrastructure., has registered algorithmically generated Twitter handles that are used for C2 by malware, such as ,.,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls."," has created profile pages in Microsoft TechNet that were used as C2 infrastructure., has registered algorithmically generated Twitter handles that are used for C2 by malware, such as ,.,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls."
"
                            ,
                        Email Accounts
                    ","Before compromising a victim, adversaries may compromise email accounts that can be used during targeting. Adversaries can use compromised email accounts to further their operations, such as leveraging them to conduct , or ,. Utilizing an existing persona with a compromised email account may engender a level of trust in a potential victim if they have a relationship, or knowledge of, the compromised persona. Compromised email accounts can also be used in the acquisition of infrastructure (ex: ,).,A variety of methods exist for compromising email accounts, such as gathering credentials via ,, purchasing credentials from third-party sites, or by brute forcing credentials (ex: password reuse from breach credential dumps)., Prior to compromising email accounts, adversaries may conduct Reconnaissance to inform decisions about which accounts to compromise to further their operation.,Adversaries can use a compromised email account to hijack existing email threads with targets of interest.", Pre-compromise ,"Much of this activity will take place outside the visibility of the target organization, making detection of this behavior difficult. Detection efforts may be focused on related stages of the adversary lifecycle, such as during Initial Access (ex: ,).",This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.
"
                        Compromise Infrastructure
                    ","Before compromising a victim, adversaries may compromise third-party infrastructure that can be used during targeting. Infrastructure solutions include physical or cloud servers, domains, and third-party web services. Instead of buying, leasing, or renting infrastructure an adversary may compromise infrastructure and use it during other phases of the adversary lifecycle., Additionally, adversaries may compromise numerous machines to form a botnet they can leverage.,Use of compromised infrastructure allows an adversary to stage, launch, and execute an operation. Compromised infrastructure can help adversary operations blend in with traffic that is seen as normal, such as contact with high reputation or trusted sites. By using compromised infrastructure, adversaries may make it difficult to tie their actions back to them. Prior to targeting, adversaries may compromise the infrastructure of other adversaries.", Pre-compromise ,"Much of this activity will take place outside the visibility of the target organization, making detection difficult for defenders. Detection efforts may be focused on related stages of the adversary lifecycle, such as during Command and Control.",This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.
"
                            ,
                        Social Media Accounts
                    ","Before compromising a victim, adversaries may compromise social media accounts that can be used during targeting. For operations incorporating social engineering, the utilization of an online persona may be important. Rather than creating and cultivating social media profiles (i.e. ,), adversaries may compromise existing social media accounts. Utilizing an existing persona may engender a level of trust in a potential victim if they have a relationship, or knowledge of, the compromised persona. ,A variety of methods exist for compromising social media accounts, such as gathering credentials via ,, purchasing credentials from third-party sites, or by brute forcing credentials (ex: password reuse from breach credential dumps)., Prior to compromising social media accounts, adversaries may conduct Reconnaissance to inform decisions about which accounts to compromise to further their operation.,Personas may exist on a single site or across multiple sites (ex: Facebook, LinkedIn, Twitter, etc.). Compromised social media accounts may require additional development, this could include filling out or modifying profile information, further developing social networks, or incorporating photos.,Adversaries can use a compromised social media profile to create new, or hijack existing, connections to targets of interest. These connections may be direct or may include trying to connect through others., Compromised profiles may be leveraged during other phases of the adversary lifecycle, such as during Initial Access (ex: ,).", Pre-compromise ,"Consider monitoring social media activity related to your organization. Suspicious activity may include personas claiming to work for your organization or recently modified accounts making numerous connection requests to accounts affiliated with your organization.,Detection efforts may be focused on related stages of the adversary lifecycle, such as during Initial Access (ex: ,).",This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.
"
                            ,
                        Domains
                    ","Before compromising a victim, adversaries may hijack domains and/or subdomains that can be used during targeting. Domain registration hijacking is the act of changing the registration of a domain name without the permission of the original registrant., An adversary may gain access to an email account for the person listed as the owner of the domain. The adversary can then claim that they forgot their password in order to make changes to the domain registration. Other possibilities include social engineering a domain registration help desk to gain access to an account or taking advantage of renewal process gaps.,Subdomain hijacking can occur when organizations have DNS entries that point to non-existent or deprovisioned resources. In such cases, an adversary may take control of a subdomain to conduct operations with the benefit of the trust associated with that domain."," APT1 ,APT1,[3], Pre-compromise ","Much of this activity will take place outside the visibility of the target organization, making detection of this behavior difficult. Detection efforts may be focused on related stages of the adversary lifecycle, such as during Command and Control."," hijacked FQDNs associated with legitimate websites hosted by hop points.,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls."," hijacked FQDNs associated with legitimate websites hosted by hop points.,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls."
"
                            ,
                        Web Services
                    ","Before compromising a victim, adversaries may compromise access to third-party web services that can be used during targeting. A variety of popular websites exist for legitimate users to register for web-based services, such as GitHub, Twitter, Dropbox, Google, etc. Adversaries may try to take ownership of a legitimate user's access to a web service and use that web service as infrastructure in support of cyber operations. Such web services can be abused during later stages of the adversary lifecycle, such as during Command and Control (,) or ,., Using common services, such as those offered by Google or Twitter, makes it easier for adversaries to hide in expected noise. By utilizing a web service, particularly when access is stolen from legitimate users, adversaries can make it difficult to physically tie back operations to them."," Turla ,Turla,[1], Pre-compromise ","Much of this activity will take place outside the visibility of the target organization, making detection of this behavior difficult. Detection efforts may be focused on related stages of the adversary lifecycle, such as during Command and Control (,) or ,."," has frequently used compromised WordPress sites for C2 infrastructure.,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls."," has frequently used compromised WordPress sites for C2 infrastructure.,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls."
"
                        Resource Hijacking
                    ","Adversaries may leverage the resources of co-opted systems in order to solve resource intensive problems which may impact system and/or hosted service availability. ,One common purpose for Resource Hijacking is to validate transactions of cryptocurrency networks and earn virtual currency. Adversaries may consume enough system resources to negatively impact and/or cause affected machines to become unresponsive., Servers and cloud-based, systems are common targets because of the high potential for available resources, but user endpoint systems may also be compromised and used for Resource Hijacking and cryptocurrency mining."," APT41 ,APT41,[3], Blue Mockingbird ,Blue Mockingbird,[4], Bonadan ,Bonadan,[5], CookieMiner ,CookieMiner,[6], Imminent Monitor ,Imminent Monitor,[7], Lazarus Group ,Lazarus Group,[1], LoudMiner ,LoudMiner,[8], Rocke ,Rocke,[9],[10], Skidmap ,Skidmap,[11]","Consider monitoring process resource usage to determine anomalous activity associated with malicious hijacking of computer resources such as CPU, memory, and graphics processing resources. Monitor for suspicious use of network resources associated with cryptocurrency mining software. Monitor for common cryptomining software process names and files on local systems that may indicate compromise and resource usage."," deployed a Monero cryptocurrency mining tool in a victim’s environment., has used XMRIG to mine cryptocurrency on victim systems., can download an additional module which has a cryptocurrency mining extension., has loaded coinmining software onto systems to mine for Koto cryptocurrency. , has the capability to run a cryptocurrency miner on the victim machine., has subset groups like Bluenoroff who have used cryptocurrency mining software on victim machines., harvested system resources to mine cryptocurrency, using XMRig to mine Monero., , has distributed cryptomining malware., is a kernel-mode rootkit used for cryptocurrency mining."," deployed a Monero cryptocurrency mining tool in a victim’s environment., has used XMRIG to mine cryptocurrency on victim systems., can download an additional module which has a cryptocurrency mining extension., has loaded coinmining software onto systems to mine for Koto cryptocurrency. , has the capability to run a cryptocurrency miner on the victim machine., has subset groups like Bluenoroff who have used cryptocurrency mining software on victim machines., harvested system resources to mine cryptocurrency, using XMRig to mine Monero., , has distributed cryptomining malware., is a kernel-mode rootkit used for cryptocurrency mining."
"
                            ,
                        Reflection Amplification
                    ","Adversaries may attempt to cause a denial of service by reflecting a high-volume of network traffic to a target. This type of Network DoS takes advantage of a third-party server intermediary that hosts and will respond to a given spoofed source IP address. This third-party server is commonly termed a reflector. An adversary accomplishes a reflection attack by sending packets to reflectors with the spoofed address of the victim. Similar to Direct Network Floods, more than one system may be used to conduct the attack, or a botnet may be used. Likewise, one or more reflector may be used to focus traffic on the target.,Reflection attacks often take advantage of protocols with larger responses than requests in order to amplify their traffic, commonly known as a Reflection Amplification attack. Adversaries may be able to generate an increase in volume of attack traffic that is several orders of magnitude greater than the requests sent to the amplifiers. The extent of this increase will depending upon many variables, such as the protocol in question, the technique used, and the amplifying servers that actually produce the amplification in attack volume. Two prominent protocols that have enabled Reflection Amplification Floods are DNS, and NTP,, though the use of several others in the wild have been documented.,  In particular, the memcache protocol showed itself to be a powerful protocol, with amplification sizes up to 51,200 times the requesting packet."," Filter Network Traffic ,[6],[6],[6]","Detection of reflection amplification can sometimes be achieved before the traffic volume is sufficient to cause impact to the availability of the service, but such response time typically requires very aggressive monitoring and responsiveness or services provided by an upstream network service provider. Typical network throughput monitoring tools such as netflow,, SNMP, and custom scripts can be used to detect sudden increases in network or service utilization. Real-time, automated, and qualitative study of the network traffic can identify a sudden surge in one type of protocol can be used to detect a reflection amplification DoS event as it starts. Often, the lead time may be small and the indicator of an event availability of the network or service drops. The analysis tools mentioned can then be used to determine the type of DoS causing the outage and help with remediation.","When flood volumes exceed the capacity of the network connection being targeted, it is typically necessary to intercept the incoming traffic upstream to filter out the attack traffic from the legitimate traffic. Such defenses can be provided by the hosting Internet Service Provider (ISP) or by a 3rd party such as a Content Delivery Network (CDN) or providers specializing in DoS mitigations.,Depending on flood volume, on-premises filtering may be possible by blocking source addresses sourcing the attack, blocking ports that are being targeted, or blocking protocols being used for transport.,As immediate response may require rapid engagement of 3rd parties, analyze the risk associated to critical resources being affected by Network DoS attacks and create a disaster recovery plan/business continuity plan to respond to incidents.","When flood volumes exceed the capacity of the network connection being targeted, it is typically necessary to intercept the incoming traffic upstream to filter out the attack traffic from the legitimate traffic. Such defenses can be provided by the hosting Internet Service Provider (ISP) or by a 3rd party such as a Content Delivery Network (CDN) or providers specializing in DoS mitigations.,Depending on flood volume, on-premises filtering may be possible by blocking source addresses sourcing the attack, blocking ports that are being targeted, or blocking protocols being used for transport.,As immediate response may require rapid engagement of 3rd parties, analyze the risk associated to critical resources being affected by Network DoS attacks and create a disaster recovery plan/business continuity plan to respond to incidents."
"
                        Inhibit System Recovery
                    ","Adversaries may delete or remove built-in operating system data and turn off services designed to aid in the recovery of a corrupted system to prevent recovery., Operating systems may contain features that can help fix corrupted systems, such as a backup catalog, volume shadow copies, and automatic repair features. Adversaries may disable or delete system recovery features to augment the effects of , and ,.,A number of native Windows utilities have been used by adversaries to disable or delete system recovery features:"," H1N1 ,H1N1,[3], InvisiMole ,InvisiMole,[4], JCry ,JCry,[5], Maze ,Maze,[6],[7], Netwalker ,Netwalker,[8],[9], Olympic Destroyer ,Olympic Destroyer,[1], Ragnar Locker ,Ragnar Locker,[10], REvil ,REvil,[11],[12],[13],[14],[15],[16],[17],[18], RobbinHood ,RobbinHood,[19], Ryuk ,Ryuk,[20], WannaCry ,WannaCry,[21],[2],[22], Data Backup ,[23], Operating System Configuration ","Use process monitoring to monitor the execution and command line parameters of binaries involved in inhibiting system recovery, such as vssadmin, wbadmin, and bcdedit. The Windows event logs, ex. Event ID 524 indicating a system catalog was deleted, may contain entries associated with suspicious activity.,Monitor the status of services involved in system recovery. Monitor the registry for changes associated with system recovery features (ex: the creation of ,)."," disable recovery options and deletes shadow copies from the victim., can can remove all system restore points., has been observed deleting shadow copies to ensure that data cannot be restored easily.,   , has attempted to delete the shadow volumes of infected machines, once before and once after the encryption process., can delete the infected system's Shadow Volumes to prevent recovery., uses the native Windows utilities ,, ,, and , to delete and disable operating system recovery features such as the Windows backup catalog and Windows Automatic Repair., can delete volume shadow copies using ,., can use vssadmin to delete volume shadow copies and bcdedit to disable recovery features., deletes shadow copies to ensure that all the data cannot be restored easily., , has used , to to delete volume shadow copies and , to force deletion of shadow copies created by third-party applications., uses ,, ,, ,, and , to delete and disable operating system recovery features.,Consider implementing IT disaster recovery plans that contain procedures for taking regular data backups that can be used to restore organizational data., Ensure backups are stored off system and is protected from common methods adversaries may use to gain access and destroy the backups to prevent recovery.,Consider technical controls to prevent the disabling of services or deletion of files involved in system recovery. "," disable recovery options and deletes shadow copies from the victim., can can remove all system restore points., has been observed deleting shadow copies to ensure that data cannot be restored easily.,   , has attempted to delete the shadow volumes of infected machines, once before and once after the encryption process., can delete the infected system's Shadow Volumes to prevent recovery., uses the native Windows utilities ,, ,, and , to delete and disable operating system recovery features such as the Windows backup catalog and Windows Automatic Repair., can delete volume shadow copies using ,., can use vssadmin to delete volume shadow copies and bcdedit to disable recovery features., deletes shadow copies to ensure that all the data cannot be restored easily., , has used , to to delete volume shadow copies and , to force deletion of shadow copies created by third-party applications., uses ,, ,, ,, and , to delete and disable operating system recovery features.,Consider implementing IT disaster recovery plans that contain procedures for taking regular data backups that can be used to restore organizational data., Ensure backups are stored off system and is protected from common methods adversaries may use to gain access and destroy the backups to prevent recovery.,Consider technical controls to prevent the disabling of services or deletion of files involved in system recovery. "
"
                        System Shutdown/Reboot
                    ","Adversaries may shutdown/reboot systems to interrupt access to, or aid in the destruction of, those systems. Operating systems may contain commands to initiate a shutdown/reboot of a machine. In some cases, these commands may also be used to initiate a shutdown/reboot of a remote computer., Shutting down or rebooting systems may disrupt access to computer resources for legitimate users.,Adversaries may attempt to shutdown/reboot a system after impacting it in other ways, such as , or ,, to hasten the intended effects on system availability."," APT37 ,APT37,[4], APT38 ,APT38,[5], DustySky ,DustySky,[6], Lazarus Group ,Lazarus Group,[7], LockerGoga ,LockerGoga,[8], Maze ,Maze,[9], NotPetya ,NotPetya,[2], Olympic Destroyer ,Olympic Destroyer,[3], Shamoon ,Shamoon,[10],[11]","Use process monitoring to monitor the execution and command line parameters of binaries involved in shutting down or rebooting systems. Windows event logs may also designate activity associated with a shutdown/reboot, ex. Event ID 1074 and 6006."," has used malware that will issue the command , to reboot a system after wiping its MBR., has used a custom MBR wiper named BOOTWRECK, which will initiate a system reboot after wiping the victim's MBR., can shutdown the infected machine., has rebooted systems after destroying files and wiping the MBR on infected systems., has been observed shutting down infected systems., has issued a shutdown command on a victim machine that, upon reboot, will run the ransomware within a VM., will reboot the system one hour after infection., will shut down the compromised system after it is done modifying system configuration settings., will reboot the infected system once the wiping functionality has been completed.,   "," has used malware that will issue the command , to reboot a system after wiping its MBR., has used a custom MBR wiper named BOOTWRECK, which will initiate a system reboot after wiping the victim's MBR., can shutdown the infected machine., has rebooted systems after destroying files and wiping the MBR on infected systems., has been observed shutting down infected systems., has issued a shutdown command on a victim machine that, upon reboot, will run the ransomware within a VM., will reboot the system one hour after infection., will shut down the compromised system after it is done modifying system configuration settings., will reboot the infected system once the wiping functionality has been completed.,   "
